table_name,column_name,semantic_type,modeling_role,source,notes
dim_2026_world_cup_squad_players,group_name,categorical,group identifier,Wikimedia parsed squads,World Cup group A-L
dim_2026_world_cup_squad_players,team,categorical,team key,Wikimedia parsed squads,National team
dim_2026_world_cup_squad_players,shirt_number,numeric/player metadata,feature,Wikimedia parsed squads,Mostly identifier not predictive by itself
dim_2026_world_cup_squad_players,position,categorical,feature,Wikimedia parsed squads,GK/DF/MF/FW
dim_2026_world_cup_squad_players,player_name,categorical/player key,join key,Wikimedia parsed squads,Use with team to avoid name collisions
dim_2026_world_cup_squad_players,birth_date,date,feature,Wikimedia parsed squads,Age can be derived
dim_2026_world_cup_squad_players,age_years_as_of_2026_06_11,numeric,feature,Wikimedia parsed squads,Player age at tournament start
dim_2026_world_cup_squad_players,caps_before_tournament,numeric,feature,Wikimedia parsed squads,Experience before tournament
dim_2026_world_cup_squad_players,goals_before_tournament,numeric,feature,Wikimedia parsed squads,International scoring before tournament
dim_2026_world_cup_squad_players,club,categorical,feature/enrichment,Wikimedia parsed squads,Could derive club league/country later
dim_2026_world_cup_squad_players,is_captain,boolean,feature,Wikimedia parsed squads,Captain indicator if parsed
dim_player_wikidata,wikidata_qid,categorical/entity id,join key,Wikidata,Stable player entity id when matched
dim_player_wikidata,height_m,numeric,feature,Wikidata,Useful mainly by position
dim_player_wikidata,country_of_citizenship_qids,categorical/enrichment,feature,Wikidata,Pipe-delimited QIDs
fact_2026_world_cup_fixtures,date,date,time key,public results/Openfootball,Fixture date
fact_2026_world_cup_fixtures,home_team,categorical,team key,public results/Openfootball,Listed home team
fact_2026_world_cup_fixtures,away_team,categorical,team key,public results/Openfootball,Listed away team
fact_2026_world_cup_fixtures,home_score,numeric,outcome,public results/Openfootball,Do not use as pre-match feature
fact_2026_world_cup_fixtures,away_score,numeric,outcome,public results/Openfootball,Do not use as pre-match feature
fact_2026_world_cup_fixtures,status,categorical,filter,public results/Openfootball,Finished/scheduled
fact_2026_world_cup_fixtures,city,categorical,venue feature,public results/Openfootball,Fixture city
fact_2026_world_cup_fixtures,neutral,boolean,feature,public results/Openfootball,Neutral-site indicator
fact_international_matches_team_long,goals_for,numeric,outcome/history feature,martj42 international_results,Historical only when before predicted match
fact_international_matches_team_long,goals_against,numeric,outcome/history feature,martj42 international_results,Historical only when before predicted match
fact_international_matches_team_long,result,ordinal outcome/history feature,martj42 international_results,loss/draw/win from team perspective
agg_team_recent_form,win_pct,numeric,feature,processed public results,Recent team win rate since 2022
agg_team_recent_form,avg_goals_for,numeric,feature,processed public results,Recent scoring form
agg_team_recent_form,avg_goals_against,numeric,feature,processed public results,Recent defensive form
agg_team_elo_latest,latest_elo,numeric,feature,computed from public results,Simple Elo baseline
fact_team_elo_match_history,pre_elo,numeric,leak-safe historical feature,computed from public results,Rating before each historical match
fact_player_goals,scorer,categorical/player key,join key,martj42 goalscorers,Goal scorer names
agg_player_international_goals,international_goals_in_dataset,numeric,feature,processed goal events,Historical goal-event count
fact_fixture_weather_hourly_open_meteo,temperature_2m,numeric,context feature,Open-Meteo,Hourly venue weather
fact_fixture_weather_hourly_open_meteo,precipitation,numeric,context feature,Open-Meteo,Hourly venue precipitation
fact_fixture_weather_hourly_open_meteo,wind_speed_10m,numeric,context feature,Open-Meteo,Hourly venue wind
fact_news_articles_gdelt,title,text metadata,feature source,GDELT,Use derived counts/keywords, not raw text as label
fact_news_articles_gdelt,seendate,timestamp,time key,GDELT,Article seen date
fact_news_articles_gdelt,domain,categorical,source feature,GDELT,Source diversity
vw_2026_fixture_model_frame,match_result_ordinal,ordinal outcome,model target,derived,home_win/draw/away_win
vw_2026_fixture_model_frame,elo_diff_home_minus_away,numeric,feature,derived,Home minus away Elo
